AreaCode	Survey_Year	Population_Persons	Population_Male	Population_Female	Population_AgeGroup_0_4	Population_AgeGroup_5_9	Population_AgeGroup_10_14	Population_AgeGroup_15_19	Population_AgeGroup_20_24	Population_AgeGroup_25_29	Population_AgeGroup_30_34	Population_AgeGroup_35_39	Population_AgeGroup_40_44	Population_AgeGroup_45_49	Population_AgeGroup_50_54	Population_AgeGroup_55_59	Population_AgeGroup_60_64	Population_AgeGroup_BTE65
20570	2009	90145	43260	46885	5703	5966	6358	7279	6928	5246	5687	6027	6254	6311	5836	5427	4122	13001
20660	2009	117838	57211	60627	7022	6976	7118	7896	8110	7393	8200	8726	8471	8641	8125	7794	6148	17218
20910	2009	92141	43954	48187	5905	6024	6097	6057	4495	3549	4813	6892	7520	7670	6768	6317	4956	15077
21110	2009	160364	76437	83927	9143	9760	10890	12031	13508	10450	7479	11377	12404	12465	11457	10403	7581	21416
21180	2009	175964	87306	88658	11349	11978	12713	12905	13349	12511	12958	13197	12859	12659	12116	10916	7856	18599
21450	2009	66026	32729	33297	5108	5600	5887	4970	3876	3679	4624	5591	5416	4811	4147	3801	2919	5596
21610	2009	237883	117876	120007	18953	20121	20319	18146	15356	16473	18935	20468	19778	18017	14811	12120	7693	16692
21890	2009	133357	65075	68282	8582	7047	6286	6885	10405	11130	12129	12242	10156	8965	7293	6379	5304	20555
22170	2009	124186	60682	63504	8077	8438	9216	8776	7988	7704	8944	9706	9510	9144	8049	7576	5940	15117
22310	2009	129853	63406	66448	8243	7631	7128	7405	8296	9301	10182	10771	10037	9455	8518	7713	5226	19948
22620	2009	98192	47735	50457	6198	6727	7359	7532	6637	5292	5831	6518	7041	7070	6900	6329	4702	14056
22670	2009	131022	65437	65586	8204	8145	8590	8734	9912	9556	9519	9271	9036	9174	8554	8117	6532	17679
22750	2009	203191	98682	104509	12542	13259	14265	14005	12816	11568	13227	13977	14538	14687	13791	13026	10286	31201
22830	2009	59431	29294	30136	3933	4569	4686	4302	3402	3355	3828	4226	4291	4283	3977	3663	2777	8141
23110	2009	83126	40942	42184	5565	5291	5138	4967	5110	5239	6540	7169	7027	6535	5372	4823	3608	10742
23270	2009	159141	79402	79739	12259	13368	13819	11963	10639	10723	11734	13393	13064	11630	9675	8361	6174	12338
23430	2009	140223	68466	71757	8561	8102	8389	8530	8423	8576	10548	11467	10701	10261	9163	8909	6980	21611
23670	2009	149720	73582	76138	9248	10213	11288	11765	10361	9054	10057	11485	11711	11958	11046	9780	6944	14809
23810	2009	72102	35244	36858	4489	4958	5583	5396	4786	3883	4279	4757	5278	5373	5163	4545	3580	10033
24210	2009	112477	55305	57173	5780	6471	7126	8206	7441	5719	6289	7887	8424	8506	7755	7969	7322	17582
24330	2009	68264	34273	33991	4506	3482	3222	3466	5954	6756	7178	6402	5365	4747	3821	2975	2203	8187
24410	2009	101900	48784	53115	6530	6662	6881	7026	6749	6152	7259	7859	7693	7446	6639	6486	5114	13405
24600	2009	82009	40213	41796	1975	1213	1837	3251	14722	13597	8916	7935	6071	5235	6501	3360	2678	4720
24650	2009	95447	47674	47772	8736	7915	7359	6982	6694	8536	9513	8409	7014	6425	6088	5082	2835	3860
24970	2009	166829	82501	84328	8353	8520	9329	11498	15123	11350	10793	11743	11669	11399	10401	10304	9037	27310
25060	2009	111026	54042	56984	6434	6193	6397	6688	8021	8120	8650	9054	8274	7964	7176	6461	5122	16471
25250	2009	140545	68100	72445	9078	7646	7175	7335	11575	13303	13610	12574	10627	8670	7619	6570	4965	19798
25340	2009	143216	70144	73072	8328	9170	9815	9388	6829	5939	7816	9620	10152	10253	9524	10044	9196	27143
25710	2009	61313	30481	30832	3973	4727	5353	5659	4111	2491	3266	4780	5410	5904	5191	4364	2756	3329
25900	2009	89426	43714	45713	4289	2512	1440	2835	7047	12895	13454	10307	7209	6126	5124	4970	3749	7469
26350	2009	93754	44802	48952	4674	4073	4021	4814	8863	10228	9209	7782	6426	6004	5777	5617	4478	11786
26980	2009	148710	70855	77855	8829	8868	8102	9263	10503	8896	10728	11789	10841	10418	9318	8725	7452	24976
27070	2009	139057	69142	69915	10150	10358	10302	10287	9982	9892	10972	11506	10847	10099	8807	7989	5730	12136
27260	2009	137249	67831	69418	11626	10942	11202	10128	9113	10189	12368	12747	11584	10124	8277	6864	4471	7616
27350	2009	73221	36398	36823	3365	2502	2121	2544	7561	11052	10179	7484	5353	4498	3987	3701	2748	6126
27450	2009	142509	70790	71719	9484	10468	11217	11004	8724	6774	9534	10723	11675	11722	10746	10213	7336	12888
