areacode,survey_year,population_persons,population_male,population_female,population_agegroup_0_4,population_agegroup_5_9,population_agegroup_10_14,population_agegroup_15_19,population_agegroup_20_24,population_agegroup_25_29,population_agegroup_30_34,population_agegroup_35_39,population_agegroup_40_44,population_agegroup_45_49,population_agegroup_50_54,population_agegroup_55_59,population_agegroup_60_64,population_agegroup_bte65
34590,2008,98359,48569,49790,7034,6455,6478,9820,8129,6848,6362,6318,6676,6871,6522,5078,5282,10485
36250,2006,38195,18282,19913,2587,2245,3859,1489,1598,1045,2591,2717,3271,2819,3234,3454,2521,4766
35010,2003,133951,64841,69111,8938,9230,9648,11024,9023,7834,9754,9294,9940,9824,10106,8782,7414,13139
31000,2003,414832,203993,210840,25467,26510,27904,27533,36495,31754,32497,30499,31114,31715,27399,21852,15448,48647
35010,2004,172636,86703,85934,12668,14421,15322,10872,9206,9832,12876,13317,13937,11806,10799,11078,6814,19688
33960,2006,84663,46523,38140,8254,5378,5891,6500,8681,5921,3076,6798,5790,5801,5120,4455,2304,10695
31000,2004,505014,247060,257955,31648,29323,28124,34449,46023,44880,47081,39318,37640,31197,31220,30365,21525,52222
34590,2004,129352,64803,64549,7842,10500,12152,10867,8855,8368,8943,9354,9329,11083,10023,7651,5707,8678
34590,2003,111407,54342,57065,10572,9228,10392,9132,7346,7794,10277,8316,8942,6569,6999,6880,3728,5232
39499,2004,412,228,184,,,,149,,,,80,,,,183,,
35010,2006,333986,165551,168435,23814,24901,25872,24545,19970,19548,22350,25788,24901,23875,21917,21181,18172,37152
31820,2010,79478,38940,40538,5127,5311,5925,5687,4309,4221,4085,4815,5388,5715,5341,5100,5110,13344
33960,2004,76494,39417,37076,4758,6923,5263,6074,7317,4231,5663,5819,6863,5073,5670,4238,3261,5341
31000,2006,966277,475144,491132,61596,57127,57413,64038,89127,82993,78879,77640,70102,67001,60531,54596,43243,101991
33960,2003,55637,26734,28903,5329,3924,4479,3549,2711,5241,4409,4346,3834,3332,2189,3336,2264,6693
36710,2004,271227,133269,137959,15952,18123,19943,17699,13348,13449,17406,18425,21564,20524,19091,18706,15616,41383
33430,2004,421572,208364,213209,24977,26240,27356,27024,30482,29080,32211,29854,31610,29540,28316,27484,21165,56232
34590,2006,301607,147305,154302,21512,25815,25635,23838,19642,21170,24227,23566,22574,23165,19578,18279,14336,18269
36250,2004,65639,33210,32429,3650,3457,4653,5060,6504,3425,3694,3526,4382,5457,5362,3689,2828,9953
33430,2008,467685,231771,235913,27709,28368,29085,30858,34468,33636,33492,34930,33564,33116,30507,29560,26222,62170
36250,2003,51988,25886,26102,3974,5230,4037,4033,2435,2584,3541,4299,5072,4196,2745,3107,1634,5103
33220,2010,88246,43393,44853,5327,5469,6367,5742,4394,4227,4168,5433,5293,5616,6096,6499,6853,16762
36710,2007,295541,145316,150225,17042,19052,20963,19564,15512,14751,17258,20306,21852,22796,20701,20288,18723,46732
36910,2012,141903,68294,73609,10488,9852,10939,10549,9064,8896,8230,8753,8785,9269,9536,8160,7993,21389
36250,2009,105853,56739,49114,7150,7558,8402,8045,5819,5426,7343,7777,5508,8024,4933,8026,5931,15909
33430,2011,44791,22161,22630,2199,2321,1921,4588,3678,1974,2888,2587,3759,2891,2620,3784,2222,7361
34590,2011,34794,19448,15346,1808,4280,3059,4055,2132,2252,2459,2059,1986,2803,2364,1204,2394,1939
33960,2009,145497,74360,71137,12036,10376,10481,11320,8702,8829,10360,9434,8486,12329,11210,8891,7518,15524
35010,2009,439322,214515,224807,28291,29519,30892,33089,29756,28786,25068,30426,28982,33227,26816,30324,26997,57149
33960,2010,92498,45683,46815,9907,8394,8059,7441,6021,7545,7441,8161,8431,6339,4875,3797,2949,3138
34590,2012,231381,114037,117344,17318,14248,14613,20799,15253,16426,14980,17775,20687,14608,15303,10942,13314,25115
33430,2012,82388,39323,43065,3917,6217,7601,7142,4962,5438,3869,5656,7239,7932,4068,4197,4242,9908
31000,2009,1349196,662481,686714,91952,85584,79812,82709,119321,125081,107521,114163,96546,85388,83262,74177,61265,142416
36710,2009,530643,256611,274032,33418,34229,36986,35439,26233,25088,26429,35306,37371,39843,37823,35506,36356,90615
33960,2011,21268,8527,12741,1731,1685,2096,1816,548,1982,1273,4343,999,1205,826,907,237,1620
35010,2012,233424,111790,121635,22395,21632,17552,16148,11508,13777,17598,16591,18775,15267,15968,10834,11533,23846
